GEOID,Tract,County,Total,White,Black,AmericanIndian,Asian,PacIslander,Other,Multiracial,Hispanic
08001009203,Census Tract 92.03,Adams County,4594,1264,156,43,237,6,19,163,2706
08001009204,Census Tract 92.04,Adams County,6918,2852,200,37,678,14,37,271,2829
08001009206,Census Tract 92.06,Adams County,2630,1190,73,17,288,0,5,75,982
08001009207,Census Tract 92.07,Adams County,4560,1615,67,18,153,1,17,154,2535
08001009304,Census Tract 93.04,Adams County,5809,2730,160,54,188,9,29,224,2415
08031004005,Census Tract 40.05,Denver County,3751,2797,101,26,218,9,29,148,423
08031004002,Census Tract 40.02,Denver County,3448,3001,26,10,89,1,21,138,162
08031004003,Census Tract 40.03,Denver County,4408,3416,103,19,119,5,23,202,521
08031004004,Census Tract 40.04,Denver County,1968,1563,60,3,61,0,10,94,177
08031004006,Census Tract 40.06,Denver County,5373,4286,94,6,371,0,15,222,379
08031004101,Census Tract 41.01,Denver County,4802,1421,1730,35,74,4,39,225,1274
08031004102,Census Tract 41.02,Denver County,4081,1188,1464,32,32,3,37,195,1130
08031004103,Census Tract 41.03,Denver County,5494,3502,977,15,104,4,17,313,562
08031004104,Census Tract 41.04,Denver County,4519,2205,1162,13,73,0,40,292,734
08031004108,Census Tract 41.08,Denver County,7604,5651,316,9,360,2,41,507,718
08031004109,Census Tract 41.09,Denver County,3284,2154,135,6,279,3,21,260,426
08031004110,Census Tract 41.10,Denver County,5541,3515,592,86,181,0,13,285,869
08031004111,Census Tract 41.11,Denver County,6848,4396,443,24,548,8,32,450,947
08031004112,Census Tract 41.12,Denver County,6127,4236,465,9,289,2,41,329,756
08031004113,Census Tract 41.13,Denver County,1756,1289,68,8,91,0,6,87,207
08031004201,Census Tract 42.01,Denver County,4906,3982,156,11,135,2,17,246,357
08031004202,Census Tract 42.02,Denver County,4467,3211,399,32,101,3,22,223,476
08031004302,Census Tract 43.02,Denver County,2699,2137,75,2,63,0,22,125,275
08031004303,Census Tract 43.03,Denver County,4341,3741,33,3,105,1,24,240,194
08031004306,Census Tract 43.06,Denver County,6092,4408,461,14,150,6,55,297,701
08031004307,Census Tract 43.07,Denver County,1988,1376,130,5,46,0,12,127,292
08031004308,Census Tract 43.08,Denver County,4132,2941,232,18,153,0,24,213,551
08031004309,Census Tract 43.09,Denver County,3633,2798,183,16,82,1,12,193,348
08031004310,Census Tract 43.10,Denver County,2347,1821,94,9,73,0,10,116,224
08031004403,Census Tract 44.03,Denver County,4274,1968,594,31,73,3,31,218,1356
08031004404,Census Tract 44.04,Denver County,5887,1792,1582,42,803,5,13,256,1394
08031004406,Census Tract 44.06,Denver County,3965,2729,383,19,158,0,27,197,452
08031004407,Census Tract 44.07,Denver County,4941,3053,628,16,198,5,36,271,734
08031004503,Census Tract 45.03,Denver County,4303,519,131,32,102,8,5,87,3419
08001009309,Census Tract 93.09,Adams County,3782,1504,75,23,350,11,20,127,1672
08001009306,Census Tract 93.06,Adams County,3863,1311,39,14,120,4,25,87,2263
08001009307,Census Tract 93.07,Adams County,3828,1208,47,20,78,16,13,111,2335
08001009308,Census Tract 93.08,Adams County,4372,1243,45,20,49,6,31,85,2893
08001009310,Census Tract 93.10,Adams County,6201,1793,104,35,232,2,29,149,3857
08001009316,Census Tract 93.16,Adams County,8150,2157,43,35,73,1,10,125,5706
08001009318,Census Tract 93.18,Adams County,6414,1673,195,53,245,6,36,126,4080
08001009319,Census Tract 93.19,Adams County,3026,787,20,20,42,3,14,64,2076
08001009320,Census Tract 93.20,Adams County,3202,1016,90,35,137,6,19,98,1801
08001009321,Census Tract 93.21,Adams County,4383,1507,36,30,207,3,11,122,2467
08001009322,Census Tract 93.22,Adams County,5241,1675,95,24,306,4,12,168,2957
08001009323,Census Tract 93.23,Adams County,3704,1738,110,23,241,0,26,143,1423
08001009325,Census Tract 93.25,Adams County,5721,3971,147,33,312,3,23,246,986
08001009326,Census Tract 93.26,Adams County,2619,1866,24,6,203,0,9,118,393
08001009327,Census Tract 93.27,Adams County,4248,2434,66,29,191,0,17,162,1349
08001009401,Census Tract 94.01,Adams County,5060,2448,33,26,224,2,17,205,2105
08001009406,Census Tract 94.06,Adams County,4493,2510,66,21,215,3,19,198,1461
08001009407,Census Tract 94.07,Adams County,5352,2541,96,32,286,3,20,191,2183
08001009408,Census Tract 94.08,Adams County,4802,3509,63,15,409,5,11,276,514
08001009409,Census Tract 94.09,Adams County,5807,4362,51,22,380,9,26,236,721
08001009410,Census Tract 94.10,Adams County,3381,2596,37,18,146,4,9,126,445
08001009411,Census Tract 94.11,Adams County,3014,2064,62,7,69,3,13,148,648
08001009501,Census Tract 95.01,Adams County,3215,1072,37,15,160,0,19,71,1841
08001009502,Census Tract 95.02,Adams County,5764,2214,47,33,251,3,13,167,3036
08031000102,Census Tract 1.02,Denver County,3622,2668,22,23,52,0,13,175,669
08031000201,Census Tract 2.01,Denver County,3913,1669,53,20,22,2,9,83,2055
08031000303,Census Tract 3.03,Denver County,5479,4360,48,16,131,4,28,216,676
08031000202,Census Tract 2.02,Denver County,4042,1809,243,28,57,3,20,141,1741
08031000301,Census Tract 3.01,Denver County,5779,4451,46,13,108,0,17,238,906
08031000302,Census Tract 3.02,Denver County,4412,3372,68,15,87,2,11,192,665
08031000401,Census Tract 4.01,Denver County,3174,2011,54,19,52,3,10,115,910
08031000403,Census Tract 4.03,Denver County,3682,2644,50,14,65,1,12,124,772
08031000404,Census Tract 4.04,Denver County,2956,2269,87,9,72,1,15,142,361
08031000501,Census Tract 5.01,Denver County,2014,1552,20,16,37,1,14,80,294
08031000503,Census Tract 5.03,Denver County,2269,1285,83,28,124,0,17,76,656
08031000504,Census Tract 5.04,Denver County,3648,2582,80,23,96,0,14,202,651
08031000600,Census Tract 6,Denver County,4742,3385,93,13,151,6,10,205,879
08031000703,Census Tract 7.03,Denver County,2603,1591,108,11,47,0,20,102,724
08031000704,Census Tract 7.04,Denver County,2715,1410,113,38,56,3,13,75,1007
08031000705,Census Tract 7.05,Denver County,3134,1407,304,32,74,4,12,130,1171
08031000706,Census Tract 7.06,Denver County,2872,1291,195,46,117,5,9,137,1072
08031000800,Census Tract 8,Denver County,1127,149,351,21,37,7,2,59,501
08031000902,Census Tract 9.02,Denver County,5345,1351,77,37,86,4,32,100,3658
08031000903,Census Tract 9.03,Denver County,5780,1406,71,63,69,0,42,131,3998
08031000904,Census Tract 9.04,Denver County,4711,1134,194,58,46,0,19,99,3161
08031000905,Census Tract 9.05,Denver County,3269,1034,48,24,18,0,11,65,2069
08031001000,Census Tract 10,Denver County,3683,717,146,39,85,3,18,102,2573
08031001101,Census Tract 11.01,Denver County,2743,1272,160,24,47,2,19,100,1119
08031001102,Census Tract 11.02,Denver County,5274,3940,96,13,168,3,27,236,791
08031001301,Census Tract 13.01,Denver County,4834,1249,71,36,271,5,26,128,3048
08031001302,Census Tract 13.02,Denver County,3759,1065,49,61,72,4,14,95,2399
08031001401,Census Tract 14.01,Denver County,5935,1309,190,39,388,0,32,120,3857
08031001402,Census Tract 14.02,Denver County,4048,988,161,46,221,1,42,97,2492
08031001403,Census Tract 14.03,Denver County,3374,2213,116,27,80,3,18,164,753
08031001500,Census Tract 15,Denver County,4580,1616,393,49,52,0,38,96,2336
08031001601,Census Tract 16.01,Denver County,2995,1984,222,4,86,0,5,127,567
08031001602,Census Tract 16.02,Denver County,5167,3920,156,15,185,2,22,248,619
08031001603,Census Tract 16.03,Denver County,6613,4313,571,67,139,18,37,312,1156
08031001703,Census Tract 17.03,Denver County,3487,2901,46,11,109,3,13,141,263
08031001704,Census Tract 17.04,Denver County,2383,1668,98,14,233,1,15,119,235
08031001705,Census Tract 17.05,Denver County,4401,3434,85,7,207,3,97,188,380
08031001706,Census Tract 17.06,Denver County,2449,1669,163,27,114,6,16,122,332
08031001707,Census Tract 17.07,Denver County,2478,1763,99,13,143,0,17,105,338
08031001800,Census Tract 18,Denver County,3306,1876,185,34,112,1,19,150,929
08031001901,Census Tract 19.01,Denver County,3903,1445,592,52,119,9,19,193,1474
08031002000,Census Tract 20,Denver County,4053,2700,396,33,144,3,18,134,625
08031002101,Census Tract 21.01,Denver County,3078,2058,83,21,68,5,25,150,668
08031002102,Census Tract 21.02,Denver County,3114,2241,161,18,100,2,18,152,422
08031002300,Census Tract 23,Denver County,4975,2778,920,16,77,0,15,262,907
08031002402,Census Tract 24.02,Denver County,1971,1162,264,3,47,3,8,103,381
08031002404,Census Tract 24.04,Denver County,1415,790,187,8,48,0,8,70,304
08031002405,Census Tract 24.05,Denver County,4526,2441,800,44,136,3,30,249,823
08031002704,Census Tract 27.04,Denver County,2423,1670,123,32,60,0,9,120,409
08031002602,Census Tract 26.02,Denver County,2835,2077,188,23,80,3,12,109,343
08031002603,Census Tract 26.03,Denver County,3250,2353,160,20,117,0,18,170,412
08031002604,Census Tract 26.04,Denver County,2097,1304,229,26,98,7,20,102,311
08031002705,Census Tract 27.05,Denver County,2675,1992,118,7,63,1,15,122,357
08031002706,Census Tract 27.06,Denver County,3286,2516,107,14,125,0,18,150,356
08031002707,Census Tract 27.07,Denver County,2996,2385,76,12,69,0,11,135,308
08031002708,Census Tract 27.08,Denver County,3011,2196,137,27,72,5,20,146,408
08031002709,Census Tract 27.09,Denver County,2284,1741,94,7,47,0,19,124,252
08031002801,Census Tract 28.01,Denver County,3217,2574,65,7,87,6,13,138,327
08031002802,Census Tract 28.02,Denver County,4708,3627,120,16,130,0,36,201,578
08031002804,Census Tract 28.04,Denver County,2209,1833,34,9,56,2,6,76,193
08031002805,Census Tract 28.05,Denver County,3784,3092,84,12,107,7,10,182,290
08031002901,Census Tract 29.01,Denver County,3839,3155,58,12,94,6,23,173,318
08031002902,Census Tract 29.02,Denver County,4211,3632,21,8,79,0,25,167,279
08031003002,Census Tract 30.02,Denver County,2749,2224,29,11,54,0,8,138,285
08031003003,Census Tract 30.03,Denver County,3188,2425,94,12,170,1,16,166,304
08031003004,Census Tract 30.04,Denver County,6308,4896,170,10,322,0,29,345,536
08031003005,Census Tract 30.05,Denver County,3144,2604,47,15,58,0,13,164,243
08031003006,Census Tract 30.06,Denver County,3644,3068,20,2,86,0,13,207,248
08031003101,Census Tract 31.01,Denver County,1701,1137,208,4,46,3,3,93,207
08031003102,Census Tract 31.02,Denver County,4082,2719,438,33,99,0,34,195,564
08031003202,Census Tract 32.02,Denver County,3429,2768,123,8,85,0,18,153,274
08031003203,Census Tract 32.03,Denver County,3100,2753,17,3,51,1,12,95,168
08005083500,Census Tract 835,Arapahoe County,5541,2244,987,16,447,12,47,338,1450
08005083600,Census Tract 836,Arapahoe County,3692,2065,373,13,232,4,27,232,746
08005083700,Census Tract 837,Arapahoe County,4399,2993,314,19,405,2,30,229,407
08005083800,Census Tract 838,Arapahoe County,3102,1602,550,4,237,2,26,180,501
08005083900,Census Tract 839,Arapahoe County,3220,1936,365,10,194,7,23,203,482
08005084000,Census Tract 840,Arapahoe County,2454,1386,185,24,118,0,12,149,580
08005084100,Census Tract 841,Arapahoe County,4713,2441,693,9,215,18,66,325,946
08005084200,Census Tract 842,Arapahoe County,3835,1959,399,26,127,1,24,230,1069
08005084300,Census Tract 843,Arapahoe County,3636,1874,447,4,199,5,22,260,825
08005084400,Census Tract 844,Arapahoe County,3213,1537,334,18,134,3,22,253,912
08005084500,Census Tract 845,Arapahoe County,2914,1438,384,29,118,9,24,161,751
08005084600,Census Tract 846,Arapahoe County,5508,3120,524,29,318,15,50,323,1129
08005084700,Census Tract 847,Arapahoe County,4940,2825,471,22,252,3,36,313,1018
08005084800,Census Tract 848,Arapahoe County,3519,2215,273,9,220,11,18,223,550
08005084900,Census Tract 849,Arapahoe County,3243,2217,245,2,301,8,20,198,252
08005085000,Census Tract 850,Arapahoe County,2704,1440,223,4,453,5,14,135,430
08005085100,Census Tract 851,Arapahoe County,6770,3981,367,17,1377,5,32,392,599
08005085200,Census Tract 852,Arapahoe County,3131,2237,82,22,338,2,24,193,233
08005085300,Census Tract 853,Arapahoe County,2576,1521,224,9,347,5,6,153,311
08005085400,Census Tract 854,Arapahoe County,4444,2886,333,14,313,9,25,307,557
08005085500,Census Tract 855,Arapahoe County,5286,3637,338,20,353,5,35,310,588
08005085600,Census Tract 856,Arapahoe County,3257,2192,162,3,406,0,8,132,354
08005086001,Census Tract 860.01,Arapahoe County,4012,2375,341,14,348,11,29,242,652
08005085700,Census Tract 857,Arapahoe County,4878,2614,446,18,231,17,21,292,1239
08005085800,Census Tract 858,Arapahoe County,1712,1013,169,3,95,5,5,97,325
08005085900,Census Tract 859,Arapahoe County,9218,4622,1197,20,1257,12,54,552,1504
08005086002,Census Tract 860.02,Arapahoe County,3850,2119,457,6,315,10,8,264,671
08005086100,Census Tract 861,Arapahoe County,4986,3055,422,10,368,5,21,265,840
08005086200,Census Tract 862,Arapahoe County,6484,3977,485,22,663,9,26,407,895
08005086300,Census Tract 863,Arapahoe County,4468,2556,347,15,566,13,27,288,656
08005086400,Census Tract 864,Arapahoe County,2018,1644,48,5,98,0,16,87,120
08005086500,Census Tract 865,Arapahoe County,5351,3316,476,10,585,6,34,304,620
08005086600,Census Tract 866,Arapahoe County,6842,5092,327,26,406,8,26,340,617
08005086700,Census Tract 867,Arapahoe County,6707,4638,348,12,544,2,24,424,715
08005086801,Census Tract 868.01,Arapahoe County,4342,1909,1240,30,220,6,24,204,709
08005086802,Census Tract 868.02,Arapahoe County,2909,1226,863,9,267,3,26,123,392
08005086900,Census Tract 869,Arapahoe County,3251,1157,1018,20,232,4,19,188,613
08005087000,Census Tract 870,Arapahoe County,5117,1876,1307,24,314,0,39,269,1288
08005087100,Census Tract 871,Arapahoe County,2589,1215,575,8,118,2,15,124,532
08005087200,Census Tract 872,Arapahoe County,4739,2618,713,15,387,0,21,277,708
08005087301,Census Tract 873.01,Arapahoe County,4977,1955,1060,52,174,14,29,272,1421
08005087302,Census Tract 873.02,Arapahoe County,2654,1409,356,6,109,0,13,143,618
08005980000,Census Tract 9800,Arapahoe County,130,86,6,0,7,1,3,12,15
08059009806,Census Tract 98.06,Jefferson County,4266,3644,31,13,108,0,20,191,259
08059009807,Census Tract 98.07,Jefferson County,1727,1391,11,10,29,0,26,70,190
08059009815,Census Tract 98.15,Jefferson County,5182,4253,23,10,136,4,13,241,502
08059009823,Census Tract 98.23,Jefferson County,4495,3464,46,13,92,2,37,219,622
08059009824,Census Tract 98.24,Jefferson County,5044,3794,33,18,204,3,32,284,676
08059009827,Census Tract 98.27,Jefferson County,6305,4515,101,17,428,4,16,333,891
08059009828,Census Tract 98.28,Jefferson County,5315,4178,38,23,194,5,14,224,639
08059009829,Census Tract 98.29,Jefferson County,1780,1382,16,2,57,0,12,99,212
08059009830,Census Tract 98.30,Jefferson County,2155,1577,41,11,51,0,19,95,361
08059009831,Census Tract 98.31,Jefferson County,2768,1709,81,30,123,5,21,155,644
08059009832,Census Tract 98.32,Jefferson County,2567,1730,35,9,83,3,14,124,569
08059009833,Census Tract 98.33,Jefferson County,5601,3943,118,30,97,0,15,243,1155
08059009834,Census Tract 98.34,Jefferson County,4499,3315,50,17,124,1,24,195,773
08059009835,Census Tract 98.35,Jefferson County,3584,3024,19,1,53,3,16,143,325
08059009840,Census Tract 98.40,Jefferson County,3705,3071,27,9,69,2,14,142,371
08059009837,Census Tract 98.37,Jefferson County,7944,6557,37,8,276,0,15,302,749
08059009838,Census Tract 98.38,Jefferson County,5428,4563,22,10,201,0,16,240,376
08059009839,Census Tract 98.39,Jefferson County,2353,1974,7,3,44,0,13,77,235
08059009841,Census Tract 98.41,Jefferson County,2337,1890,9,3,46,0,5,95,289
08059009842,Census Tract 98.42,Jefferson County,3434,2875,18,4,129,0,6,141,261
08059009845,Census Tract 98.45,Jefferson County,4014,3584,10,11,98,0,9,136,166
08059009846,Census Tract 98.46,Jefferson County,5060,4510,13,20,72,3,36,179,227
08059009847,Census Tract 98.47,Jefferson County,3323,2977,9,11,24,0,14,129,159
08059009848,Census Tract 98.48,Jefferson County,2614,2383,2,5,27,0,19,91,87
08059009850,Census Tract 98.50,Jefferson County,2633,2328,11,8,39,0,18,115,114
08059009851,Census Tract 98.51,Jefferson County,3958,3329,19,22,97,2,19,137,333
08059009852,Census Tract 98.52,Jefferson County,4524,3908,11,10,77,3,34,169,312
08059009853,Census Tract 98.53,Jefferson County,2758,2340,7,6,88,0,10,155,152
08059009854,Census Tract 98.54,Jefferson County,5599,4881,13,4,102,0,24,260,315
08059009855,Census Tract 98.55,Jefferson County,3430,2807,27,10,205,5,21,147,208
08059009856,Census Tract 98.56,Jefferson County,2983,2160,22,29,65,0,14,139,554
08059009857,Census Tract 98.57,Jefferson County,2946,2445,19,0,109,1,15,161,196
08059009858,Census Tract 98.58,Jefferson County,3358,2921,10,7,37,2,25,176,180
08059009901,Census Tract 99.01,Jefferson County,3121,2588,36,20,145,1,13,113,205
08059010001,Census Tract 100.01,Jefferson County,4096,3016,144,23,192,0,5,127,589
08059010100,Census Tract 101,Jefferson County,4736,3588,67,30,148,2,23,222,656
08059010205,Census Tract 102.05,Jefferson County,2572,2212,6,2,52,2,8,98,192
08059010206,Census Tract 102.06,Jefferson County,4053,3178,24,15,64,4,22,142,604
08059010208,Census Tract 102.08,Jefferson County,5804,3968,66,27,191,3,9,291,1249
08059010209,Census Tract 102.09,Jefferson County,6637,4361,110,46,244,4,37,315,1520
08059010210,Census Tract 102.10,Jefferson County,3739,2870,28,19,67,0,17,173,565
08059010211,Census Tract 102.11,Jefferson County,3214,2279,76,8,57,1,18,153,622
08059010212,Census Tract 102.12,Jefferson County,4512,3095,82,25,56,7,20,241,986
08059010213,Census Tract 102.13,Jefferson County,4751,3151,48,35,93,1,31,161,1231
08059010303,Census Tract 103.03,Jefferson County,5634,4605,61,29,74,5,19,265,576
08059010304,Census Tract 103.04,Jefferson County,2764,2189,24,19,40,2,5,136,349
08059010305,Census Tract 103.05,Jefferson County,3565,2608,40,34,50,2,19,176,636
08059010306,Census Tract 103.06,Jefferson County,2714,2091,29,13,43,0,22,154,362
08059010307,Census Tract 103.07,Jefferson County,4656,3392,66,24,53,5,12,222,882
08059010308,Census Tract 103.08,Jefferson County,6507,5201,49,28,132,6,20,278,793
08059010402,Census Tract 104.02,Jefferson County,6187,4012,84,62,126,8,89,269,1537
08059010403,Census Tract 104.03,Jefferson County,5434,3464,95,61,122,4,28,266,1394
08059010405,Census Tract 104.05,Jefferson County,2715,1867,61,17,50,0,15,134,571
08059010406,Census Tract 104.06,Jefferson County,3080,1505,31,17,43,9,8,105,1362
08059009836,Census Tract 98.36,Jefferson County,4106,3433,12,11,86,0,14,144,406
08059010502,Census Tract 105.02,Jefferson County,5436,3891,59,24,89,4,29,251,1089
08059010503,Census Tract 105.03,Jefferson County,4806,3659,44,24,121,10,14,209,725
08059010504,Census Tract 105.04,Jefferson County,3003,2556,9,4,60,0,12,114,248
08059010603,Census Tract 106.03,Jefferson County,3607,2477,65,32,78,4,18,139,794
